team1,team2,possession team1,possession team2,possession in contest,number of goals team1,number of goals team2,date,hour,category,total attempts team1,total attempts team2,conceded team1,conceded team2,goal inside the penalty area team1,goal inside the penalty area team2,goal outside the penalty area team1,goal outside the penalty area team2,assists team1,assists team2,on target attempts team1,on target attempts team2,off target attempts team1,off target attempts team2,attempts inside the penalty area team1,attempts inside the penalty area  team2,attempts outside the penalty area  team1,attempts outside the penalty area  team2,left channel team1,left channel team2,left inside channel team1,left inside channel team2,central channel team1,central channel team2,right inside channel team1,right inside channel team2,right channel team1,right channel team2,total offers to receive team1,total offers to receive team2,inbehind offers to receive team1,inbehind offers to receive team2,inbetween offers to receive team1,inbetween offers to receive team2,infront offers to receive team1,infront offers to receive team2,receptions between midfield and defensive lines team1,receptions between midfield and defensive lines team2,attempted line breaks team1,attempted line breaks team2,completed line breaksteam1,completed line breaks team2,attempted defensive line breaks team1,attempted defensive line breaks team2,completed defensive line breaksteam1,completed defensive line breaks team2,yellow cards team1,yellow cards team2,red cards team1,red cards team2,fouls against team1,fouls against team2,offsides team1,offsides team2,passes team1,passes team2,passes completed team1,passes completed team2,crosses team1,crosses team2,crosses completed team1,crosses completed team2,switches of play completed team1,switches of play completed team2,corners team1,corners team2,free kicks team1,free kicks team2,penalties scored team1,penalties scored team2,goal preventions team1,goal preventions team2,own goals team1,own goals team2,forced turnovers team1,forced turnovers team2,defensive pressures applied team1,defensive pressures applied team2
QATAR,ECUADOR,42%,50%,8%,0,2,20 NOV 2022,17 : 00,Group A,5,6,2,0,0,2,0,0,0,1,0,3,5,3,2,4,3,2,15,8,0,7,3,6,1,4,9,6,520,532,116,127,235,187,169,218,5,8,136,155,86,99,9,13,4,7,4,2,0,0,15,15,3,4,450,480,381,409,9,14,4,4,9,9,1,3,19,17,0,1,6,5,0,0,52,72,256,279
ENGLAND,IRAN,72%,19%,9%,6,2,21 NOV 2022,14 : 00,Group B,13,8,2,6,6,2,0,0,6,1,7,3,3,4,10,6,3,2,11,3,5,0,2,3,3,1,11,0,1061,212,207,53,386,86,468,73,16,4,238,101,178,45,25,7,16,4,0,2,0,0,9,14,2,2,809,224,730,154,23,8,7,1,12,3,8,0,16,10,0,1,8,13,0,0,63,72,139,416
SENEGAL,NETHERLANDS,44%,45%,11%,0,2,21 NOV 2022,17 : 00,Group A,14,9,2,0,0,2,0,0,0,1,3,3,8,5,7,5,7,4,12,11,4,2,2,2,4,7,13,20,502,506,123,117,230,191,149,198,15,14,151,162,89,96,22,22,15,10,2,1,0,0,13,13,2,1,383,438,313,374,19,25,7,8,9,6,6,7,14,14,0,0,9,15,0,0,63,73,263,251
UNITED STATES,WALES,51%,39%,10%,1,1,21 NOV 2022,20 : 00,Group B,6,7,1,1,1,1,0,0,1,0,1,3,4,3,4,5,2,2,14,7,5,2,4,5,4,2,11,7,725,436,149,100,336,172,240,164,12,9,199,174,146,103,23,17,15,8,4,2,0,0,15,10,1,1,569,409,509,321,31,15,4,6,5,8,5,3,11,15,0,1,7,7,0,0,81,72,242,292
ARGENTINA,SAUDI ARABIA,64%,24%,12%,1,2,22 NOV 2022,11 : 00,Group C,14,3,2,1,1,2,0,0,0,1,6,2,5,0,10,3,4,0,12,3,4,2,5,3,8,3,18,8,650,268,157,69,177,131,316,68,26,9,191,137,127,68,39,15,25,7,0,6,0,0,7,21,10,1,610,267,529,190,29,9,12,2,5,7,9,2,22,16,1,0,4,14,0,0,65,80,163,361
DENMARK,TUNISIA,55%,33%,12%,0,0,22 NOV 2022,14 : 00,Group D,11,11,0,0,0,0,0,0,0,0,4,1,4,7,7,6,4,5,17,9,4,2,7,2,6,3,18,6,681,477,152,89,276,204,253,184,14,7,190,174,136,85,21,17,12,6,2,1,0,0,9,10,1,1,594,387,523,302,27,13,10,3,11,1,11,9,11,10,0,0,11,11,0,0,76,73,226,287
MEXICO,POLAND,54%,31%,15%,0,0,22 NOV 2022,17 : 00,Group C,13,8,0,0,0,0,0,0,0,0,4,1,5,4,10,7,3,1,20,8,6,6,1,6,3,4,27,13,547,296,128,72,202,101,217,123,20,3,170,150,117,82,32,12,19,2,2,1,0,0,14,16,3,0,485,322,422,241,33,10,8,2,9,1,6,5,16,16,0,0,8,15,0,0,61,70,193,290
FRANCE,AUSTRALIA,56%,35%,9%,4,1,22 NOV 2022,20 : 00,Group D,22,4,1,4,4,1,0,0,4,1,7,1,9,3,18,2,4,2,30,11,6,2,3,5,8,1,19,9,691,521,150,95,182,208,359,218,26,7,173,133,135,84,32,15,27,7,0,3,0,0,5,11,0,0,734,466,672,399,34,9,17,2,6,5,8,1,11,5,0,0,4,22,0,0,64,56,250,316
MOROCCO,CROATIA,32%,57%,12%,0,0,23 NOV 2022,11 : 00,Group F,8,6,0,0,0,0,0,0,0,0,2,2,0,2,3,4,5,2,8,12,1,3,6,6,0,5,11,7,498,626,106,99,193,197,199,330,4,9,142,169,81,116,10,18,4,9,1,0,0,0,17,11,0,1,360,667,290,592,10,19,1,4,6,7,0,5,12,17,0,0,7,8,0,0,87,58,391,217
GERMANY,JAPAN,65%,22%,13%,1,2,23 NOV 2022,14 : 00,Group E,25,10,2,1,1,2,0,0,0,1,9,3,11,6,15,10,10,0,24,5,9,0,14,3,5,3,21,11,865,346,199,102,366,146,300,98,19,10,241,113,185,70,23,17,20,11,0,0,0,0,6,14,4,4,820,261,743,207,28,16,9,3,4,2,6,6,17,10,1,0,12,26,0,0,55,87,164,487
SPAIN,COSTA RICA,74%,17%,9%,7,0,23 NOV 2022,17 : 00,Group E,17,0,0,7,7,0,0,0,4,0,7,0,8,0,12,0,5,0,30,5,4,0,8,1,6,0,12,1,1085,250,180,52,418,104,487,94,23,1,276,119,233,58,34,11,22,1,0,2,0,0,8,12,3,7,1061,231,1003,170,17,5,2,0,8,1,5,0,18,11,1,0,0,17,0,0,46,76,185,585
BELGIUM,CANADA,46%,43%,11%,1,0,23 NOV 2022,20 : 00,Group F,9,21,0,1,1,0,0,0,1,0,3,4,6,12,6,16,3,5,6,17,3,6,5,8,2,5,6,20,618,582,115,140,268,279,235,163,8,15,175,176,118,123,13,23,6,13,3,2,0,0,11,14,0,1,512,448,439,382,8,19,5,6,4,6,4,4,15,10,0,0,21,9,0,0,74,47,284,320
SWITZERLAND,CAMEROON,43%,46%,11%,1,0,24 NOV 2022,11 : 00,Group G,8,7,0,1,1,0,0,0,1,0,3,3,4,2,6,6,2,1,19,9,2,12,11,3,6,5,16,18,609,561,153,109,256,248,200,204,13,5,178,182,123,103,21,16,13,4,2,1,0,0,12,10,2,2,497,500,437,424,28,20,6,4,4,8,11,5,11,14,0,0,7,8,0,0,64,79,313,316
URUGUAY,KOREA REPUBLIC,49%,38%,13%,0,0,24 NOV 2022,14 : 00,Group H,10,6,0,0,0,0,0,0,0,0,0,0,6,5,7,1,3,5,13,15,4,0,4,4,6,4,14,19,566,551,157,136,155,228,254,187,4,8,146,185,88,96,16,17,7,8,1,1,0,0,7,10,1,0,528,419,459,340,16,19,4,3,10,9,4,3,10,8,0,0,6,10,0,0,65,54,240,231
PORTUGAL,GHANA,55%,35%,10%,3,2,24 NOV 2022,17 : 00,Group H,11,8,2,3,3,2,0,0,2,2,5,3,3,5,7,2,4,6,24,7,6,9,7,6,4,3,10,3,762,459,168,87,308,187,286,185,20,5,198,150,149,88,26,12,18,4,2,4,0,0,14,19,1,1,636,394,573,326,17,12,4,3,13,2,3,3,19,15,1,0,8,11,0,0,70,82,286,326
BRAZIL,SERBIA,53%,34%,13%,2,0,24 NOV 2022,20 : 00,Group G,24,4,0,2,2,0,0,0,1,0,10,0,9,3,11,1,13,3,14,10,9,3,10,4,7,3,20,7,727,414,144,67,275,185,308,162,11,4,184,140,134,91,16,15,10,6,0,3,0,0,7,12,1,0,585,403,526,341,19,13,3,3,6,6,6,4,12,8,0,0,4,24,0,0,72,71,236,338
WALES,IRAN,51%,33%,16%,0,2,25 NOV 2022,11 : 00,Group B,10,21,2,0,0,1,0,1,0,1,3,6,4,6,5,7,5,14,18,7,3,3,8,7,11,4,13,7,722,343,135,109,286,149,301,85,13,9,208,185,129,92,17,24,8,10,1,2,1,0,9,10,2,2,508,295,413,202,20,26,5,4,13,5,2,7,12,11,0,0,21,9,0,0,89,84,161,276
QATAR,SENEGAL,42%,48%,10%,1,3,25 NOV 2022,14 : 00,Group A,10,12,3,1,1,3,0,0,1,2,2,4,7,6,4,10,6,2,7,26,5,4,2,6,5,4,11,18,511,553,109,136,199,190,203,227,9,12,174,184,117,113,13,19,7,9,3,3,0,0,7,12,4,3,424,511,353,445,18,20,5,6,12,9,6,7,15,11,0,0,12,11,0,0,67,67,308,232
NETHERLANDS,ECUADOR,48%,39%,13%,1,1,25 NOV 2022,17 : 00,Group A,2,13,1,1,0,1,1,0,1,0,1,5,1,3,0,8,2,5,8,10,8,5,2,2,4,5,11,4,632,541,129,86,267,276,236,179,4,12,168,155,115,84,9,22,4,10,0,1,0,0,15,12,1,4,524,425,451,345,8,22,0,4,6,2,2,5,16,16,0,0,14,2,0,0,85,52,254,279
ENGLAND,UNITED STATES,51%,40%,9%,0,0,25 NOV 2022,20 : 00,Group B,8,10,0,0,0,0,0,0,0,0,3,2,4,7,6,6,2,4,11,12,2,0,7,1,5,6,11,8,676,539,116,129,290,238,270,172,10,6,208,143,147,88,23,15,10,5,0,0,0,0,9,15,1,0,550,427,488,368,13,16,4,2,9,2,3,7,15,10,0,0,10,8,0,0,52,61,266,350
TUNISIA,AUSTRALIA,50%,31%,19%,0,1,26 NOV 2022,11 : 00,Group D,13,8,1,0,0,1,0,0,0,1,4,2,5,3,9,5,4,3,12,11,8,3,7,4,6,7,11,19,710,342,166,108,291,120,253,114,13,8,200,171,109,91,23,19,11,10,3,0,0,0,16,15,3,0,501,334,396,239,23,23,5,4,6,2,5,2,15,19,0,0,9,13,0,0,81,88,217,273
POLAND,SAUDI ARABIA,30%,57%,14%,2,0,26 NOV 2022,14 : 00,Group C,8,16,0,2,2,0,0,0,1,0,3,5,3,9,8,9,0,7,7,21,2,6,4,5,8,7,13,15,428,661,140,156,164,264,124,241,14,22,150,205,84,153,22,27,12,19,3,2,0,0,18,15,0,0,303,560,236,494,19,24,8,4,5,13,4,5,15,17,0,0,16,9,0,0,69,53,329,173
FRANCE,DENMARK,44%,44%,12%,2,1,26 NOV 2022,17 : 00,Group D,21,10,1,2,2,1,0,0,2,1,6,2,8,6,16,5,5,5,15,13,7,5,4,3,1,4,13,25,630,615,111,171,226,268,293,176,11,17,155,173,105,132,16,23,12,15,1,2,0,0,4,9,1,1,503,537,437,473,23,18,12,4,7,14,6,4,10,5,0,0,10,21,0,0,79,61,269,282
ARGENTINA,MEXICO,50%,36%,14%,2,0,26 NOV 2022,20 : 00,Group C,5,4,0,2,1,0,1,0,2,0,2,1,3,2,2,1,3,3,10,8,6,1,2,1,4,2,12,11,569,373,103,78,244,151,222,144,2,5,150,127,100,66,10,13,5,5,1,4,0,0,15,19,2,4,533,356,464,287,14,17,2,4,3,2,4,2,23,17,0,0,4,5,0,0,63,79,220,327
JAPAN,COSTA RICA,48%,39%,13%,0,1,27 NOV 2022,11 : 00,Group E,14,4,1,0,0,1,0,0,0,1,3,1,4,1,7,1,7,3,28,8,6,0,9,3,3,1,10,4,699,429,176,77,255,177,268,175,5,1,158,154,95,85,22,4,7,0,3,3,0,0,22,9,0,2,575,444,510,371,17,5,1,0,2,7,5,0,11,22,0,0,4,14,0,0,47,66,300,294
BELGIUM,MOROCCO,56%,32%,12%,0,2,27 NOV 2022,14 : 00,Group F,10,11,2,0,0,2,0,0,0,2,4,4,6,6,5,6,5,5,12,10,8,3,3,2,4,1,9,11,732,441,144,109,211,173,377,159,4,7,149,125,104,89,13,11,3,8,1,1,0,0,10,14,3,3,671,317,598,275,19,9,3,4,6,10,9,1,17,13,0,0,11,10,0,0,38,78,194,360
CROATIA,CANADA,41%,46%,13%,4,1,27 NOV 2022,17 : 00,Group F,13,9,1,4,3,1,1,0,4,1,10,2,2,3,9,2,4,7,7,8,3,4,3,3,3,4,3,13,573,592,113,121,256,247,204,224,15,6,193,201,124,134,24,15,10,6,2,2,0,0,13,5,1,3,462,511,391,434,22,15,5,5,6,7,5,2,8,14,0,0,9,13,0,0,87,72,347,316
SPAIN,GERMANY,56%,33%,11%,1,1,27 NOV 2022,20 : 00,Group E,7,10,1,1,1,1,0,0,1,1,3,4,4,5,3,7,4,3,12,3,3,3,2,4,1,3,5,8,633,440,90,108,270,177,273,155,16,9,186,143,146,83,19,17,13,7,1,3,0,0,13,11,2,5,647,352,565,281,9,13,2,1,9,2,6,5,16,15,0,0,11,7,0,0,79,101,275,387
CAMEROON,SERBIA,38%,49%,13%,3,3,28 NOV 2022,11 : 00,Group G,13,16,3,3,3,2,0,1,3,3,8,6,3,8,9,11,4,5,5,20,3,4,5,16,4,5,15,12,419,583,103,124,149,261,167,198,15,11,173,184,78,122,22,22,12,12,2,2,0,0,8,13,0,4,364,513,271,433,20,23,1,4,5,5,4,3,17,8,0,0,16,13,0,0,83,81,285,234
KOREA REPUBLIC,GHANA,53%,32%,15%,2,3,28 NOV 2022,14 : 00,Group H,21,8,3,2,2,3,0,0,2,2,6,3,8,3,15,7,6,1,22,8,5,3,6,4,8,3,27,7,695,389,175,72,234,157,286,160,19,5,201,122,148,66,24,12,19,5,2,2,0,0,13,9,1,1,540,319,477,260,46,13,16,4,16,3,12,5,10,14,0,0,8,21,0,0,53,75,220,324
BRAZIL,SWITZERLAND,51%,40%,9%,1,0,28 NOV 2022,17 : 00,Group G,9,4,0,1,1,0,0,0,1,0,5,0,2,1,6,2,3,2,19,7,12,3,5,4,5,6,11,10,659,568,154,128,218,212,287,228,16,4,164,173,114,100,20,17,11,4,1,1,0,0,10,17,3,1,565,488,498,415,26,11,3,3,6,2,8,3,18,13,0,0,4,9,0,0,85,80,282,344
PORTUGAL,URUGUAY,53%,35%,12%,2,0,28 NOV 2022,20 : 00,Group H,14,10,0,2,1,0,1,0,0,0,4,3,7,6,4,6,10,4,17,13,9,8,4,4,9,5,11,9,752,413,142,115,327,155,283,143,11,6,170,150,112,86,11,17,7,11,3,2,0,0,10,16,2,0,596,390,517,306,16,18,4,5,9,2,6,2,15,13,1,0,11,14,0,0,68,81,226,362
NETHERLANDS,QATAR,54%,38%,8%,2,0,29 NOV 2022,16 : 00,Group A,13,6,0,2,2,0,0,0,1,0,4,4,5,2,10,2,3,4,25,10,9,7,8,5,11,4,21,6,785,574,157,100,322,245,306,229,16,11,185,161,165,107,13,15,10,10,1,0,0,0,19,9,4,0,795,459,740,394,11,16,1,4,1,10,4,2,9,24,0,0,5,14,0,0,62,52,319,322
ECUADOR,SENEGAL,51%,32%,17%,1,2,29 NOV 2022,16 : 00,Group A,8,15,2,1,1,2,0,0,1,0,4,5,3,8,5,11,3,4,13,14,3,0,1,2,6,7,6,10,453,268,83,76,174,115,196,77,2,12,146,153,77,84,10,20,2,12,0,1,0,0,23,11,0,3,432,269,353,198,19,20,6,5,1,6,3,6,14,22,0,1,15,8,0,0,59,62,190,243
WALES,ENGLAND,33%,58%,10%,0,3,29 NOV 2022,20 : 00,Group B,7,17,3,0,0,2,0,1,0,2,1,7,3,6,1,13,6,4,7,10,1,4,2,7,0,12,4,9,388,777,71,140,138,310,179,327,1,9,104,167,55,131,4,13,1,8,2,0,0,0,16,9,1,1,325,588,261,529,4,17,1,7,1,6,1,6,10,17,0,0,17,8,0,0,49,56,328,167
IRAN,UNITED STATES,42%,45%,13%,0,1,29 NOV 2022,20 : 00,Group B,6,12,1,0,0,1,0,0,0,1,2,5,4,4,5,8,1,4,12,11,2,7,5,7,3,5,4,17,492,697,94,133,223,262,175,302,9,17,195,185,102,133,23,27,8,16,3,1,0,0,13,10,2,1,463,470,379,413,18,22,3,2,11,8,1,5,11,15,0,0,13,6,0,0,63,74,295,302
AUSTRALIA,DENMARK,24%,60%,16%,1,0,30 NOV 2022,16 : 00,Group D,8,14,0,1,1,0,0,0,1,0,4,3,2,7,3,11,5,3,9,27,2,5,2,4,1,6,11,19,302,640,88,146,114,259,100,235,8,17,166,241,81,172,17,21,7,17,2,1,0,0,11,10,1,3,286,650,187,567,11,32,2,5,1,9,2,6,13,12,0,0,14,8,0,0,90,74,341,161
TUNISIA,FRANCE,30%,56%,14%,1,0,30 NOV 2022,16 : 00,Group D,5,9,0,1,0,0,1,0,1,0,3,3,2,4,2,4,3,5,11,14,3,6,4,5,0,3,10,21,381,630,99,96,175,212,107,322,9,11,153,138,96,99,21,10,7,4,1,0,0,0,14,6,3,2,328,636,266,566,27,20,4,5,4,3,7,8,8,17,0,0,11,6,0,0,68,80,400,202
POLAND,ARGENTINA,24%,67%,9%,0,2,30 NOV 2022,20 : 00,Group C,4,25,2,0,0,2,0,0,0,2,0,13,2,8,2,21,2,4,6,25,2,8,1,7,2,10,3,26,328,907,62,175,126,282,140,450,2,21,117,214,66,188,5,25,1,19,1,1,0,0,6,11,0,0,321,862,261,814,5,22,2,5,8,11,1,9,12,5,0,0,25,4,0,0,67,48,438,141
SAUDI ARABIA,MEXICO,29%,55%,17%,1,2,30 NOV 2022,20 : 00,Group C,10,25,2,1,1,1,0,1,1,1,2,10,8,8,6,10,4,15,5,16,3,5,4,3,3,7,11,16,337,492,100,194,162,158,75,140,6,17,178,198,86,121,17,33,5,16,6,1,0,0,20,18,2,6,297,412,197,336,9,34,2,6,1,4,1,8,23,22,0,0,26,10,0,0,82,76,269,229
CROATIA,BELGIUM,43%,47%,10%,0,0,01 DEC 2022,16 : 00,Group F,11,15,0,0,0,0,0,0,0,0,4,4,5,7,7,12,4,3,23,18,7,5,3,7,2,4,12,9,650,581,124,123,338,181,188,277,17,12,204,177,159,115,23,26,17,14,0,1,0,0,7,9,4,0,578,596,504,531,24,24,6,8,18,4,2,4,9,11,0,0,16,11,0,0,70,68,328,346
CANADA,MOROCCO,52%,36%,12%,1,2,01 DEC 2022,16 : 00,Group F,5,7,2,1,0,1,0,1,0,1,0,2,4,2,4,4,1,3,22,6,4,0,2,3,6,4,11,5,703,493,189,78,211,227,303,188,8,8,153,147,91,85,21,16,8,7,4,0,0,0,14,14,4,4,539,384,472,308,20,7,4,1,3,14,6,2,18,18,0,0,7,7,0,1,66,72,224,324
JAPAN,SPAIN,14%,78%,8%,2,1,01 DEC 2022,20 : 00,Group E,6,14,1,2,1,1,1,0,2,1,3,5,2,3,4,7,2,7,2,30,3,9,1,6,2,11,5,22,315,1138,77,174,106,286,132,678,10,17,104,190,57,140,14,21,8,15,3,0,0,0,9,6,2,2,225,1070,167,992,6,20,3,2,2,9,0,2,8,11,0,0,14,6,0,0,85,49,637,150
COSTA RICA,GERMANY,27%,60%,13%,2,4,01 DEC 2022,20 : 00,Group E,8,32,4,2,2,4,0,0,0,4,6,11,1,17,6,24,2,8,7,29,5,13,3,13,1,12,1,15,344,747,100,217,156,272,88,258,10,28,154,193,103,159,13,34,7,25,1,0,0,0,3,9,4,3,347,727,269,661,12,38,3,12,4,5,1,14,12,7,0,0,32,8,0,0,79,77,378,230
GHANA,URUGUAY,46%,39%,15%,0,2,02 DEC 2022,16 : 00,Group H,9,12,2,0,0,2,0,0,0,1,4,7,4,5,4,7,5,5,12,7,5,2,8,13,4,3,12,17,597,424,154,117,247,157,196,150,8,14,188,186,111,124,13,24,5,14,2,5,0,0,18,11,2,2,460,446,377,361,20,15,2,4,3,6,5,2,12,20,0,0,12,9,0,0,92,84,248,293
KOREA REPUBLIC,PORTUGAL,34%,55%,11%,2,1,02 DEC 2022,16 : 00,Group H,12,12,1,2,2,1,0,0,1,1,6,4,4,6,6,5,6,7,9,23,7,7,5,5,2,8,7,12,470,740,93,159,186,195,191,386,8,12,139,178,87,123,11,21,6,12,2,0,0,0,9,11,1,5,359,606,304,541,13,22,3,6,9,11,5,4,15,10,0,0,14,12,0,0,54,50,359,233
SERBIA,SWITZERLAND,45%,41%,14%,2,3,02 DEC 2022,20 : 00,Group G,11,14,3,2,2,3,0,0,1,3,4,7,6,3,10,10,1,4,17,14,6,7,4,3,4,1,10,12,577,456,92,108,214,193,271,155,7,10,157,157,95,95,10,20,5,8,7,4,0,0,18,13,0,0,476,403,390,325,23,13,6,4,7,9,2,0,14,18,0,0,14,10,0,0,74,82,276,253
CAMEROON,BRAZIL,31%,56%,13%,1,0,02 DEC 2022,20 : 00,Group G,7,19,0,1,1,0,0,0,1,0,3,6,3,11,5,14,2,5,8,20,8,5,4,6,4,7,9,13,397,643,88,145,144,328,165,170,9,9,144,181,92,145,16,15,7,9,5,2,1,0,14,14,0,1,295,548,239,491,12,28,3,8,4,3,3,11,15,14,0,0,20,7,0,0,78,54,321,226
NETHERLANDS,UNITED STATES,33%,54%,13%,3,1,03 DEC 2022,16 : 00,Round of 16,11,18,1,3,3,1,0,0,3,1,6,7,4,4,7,11,4,7,4,13,2,8,4,4,7,9,10,15,404,820,73,179,200,360,131,281,8,17,161,187,95,126,17,28,7,17,2,0,0,0,10,5,0,3,396,567,320,487,13,27,4,2,4,5,4,5,8,10,0,0,18,13,0,0,101,77,325,256
ARGENTINA,AUSTRALIA,53%,35%,12%,2,1,03 DEC 2022,20 : 00,Round of 16,14,5,1,2,2,0,0,0,1,0,5,2,7,2,11,3,3,2,15,8,6,1,11,2,2,6,17,9,869,538,131,105,337,184,401,249,8,8,181,146,135,92,16,12,8,7,0,2,0,0,8,15,4,0,711,450,635,381,6,15,1,2,5,8,1,3,15,11,0,0,5,14,1,0,67,73,240,453
FRANCE,POLAND,48%,42%,10%,3,1,04 DEC 2022,16 : 00,Round of 16,16,11,1,3,3,1,0,0,3,0,7,3,7,5,10,8,6,3,15,15,7,2,2,2,9,3,19,10,568,501,118,124,207,224,243,153,14,11,174,156,111,97,26,20,14,12,1,2,0,0,10,8,3,1,540,466,481,391,27,18,4,7,4,5,7,1,8,11,0,1,11,16,0,0,71,64,220,297
ENGLAND,SENEGAL,54%,35%,11%,3,0,04 DEC 2022,20 : 00,Round of 16,8,10,0,3,3,0,0,0,3,0,4,2,4,6,7,4,1,6,17,8,6,1,2,0,2,4,13,9,794,489,140,95,276,193,378,201,11,7,184,159,129,86,16,15,12,7,0,1,0,0,16,12,0,0,597,393,523,320,19,13,7,3,11,7,3,3,12,16,0,0,10,8,0,0,60,74,230,339
JAPAN,CROATIA,35%,51%,14%,1,1,05 DEC 2022,16 : 00,Round of 16,12,16,1,1,1,1,0,0,1,1,4,4,4,8,5,9,7,7,14,18,6,7,6,9,6,6,18,28,692,717,157,175,270,247,265,295,8,14,229,232,116,132,21,20,8,11,0,2,0,0,13,16,3,0,532,735,414,624,28,35,6,9,5,7,8,5,16,16,0,0,18,11,0,0,100,100,405,308
BRAZIL,KOREA REPUBLIC,47%,44%,9%,4,1,05 DEC 2022,20 : 00,Round of 16,18,10,1,4,4,0,0,1,3,0,9,6,8,2,14,6,4,4,20,19,5,4,5,3,7,5,15,21,666,547,149,116,257,270,260,161,17,15,193,188,145,137,21,20,17,14,0,1,0,0,8,13,0,5,616,548,556,486,18,14,4,1,9,13,5,4,16,8,1,0,10,18,0,0,73,81,310,329
MOROCCO,SPAIN,22%,68%,10%,0,0,06 DEC 2022,16 : 00,Round of 16,6,13,0,0,0,0,0,0,0,0,3,1,3,6,3,9,3,4,11,36,1,10,0,8,2,19,8,29,438,896,103,182,176,279,159,435,10,27,164,219,86,158,22,37,9,25,1,1,0,0,15,14,5,4,323,1041,229,967,10,27,4,4,4,8,0,8,18,20,0,0,14,6,0,0,100,66,573,217
PORTUGAL,SWITZERLAND,43%,48%,9%,6,1,06 DEC 2022,20 : 00,Round of 16,14,10,1,6,6,1,0,0,5,0,9,1,2,7,9,5,5,5,8,18,3,2,6,6,6,2,8,8,614,617,134,115,241,240,239,262,9,8,165,167,98,107,16,17,8,7,0,2,0,0,12,10,3,3,461,512,392,436,14,15,6,1,7,3,6,6,13,15,0,0,10,15,0,0,71,54,357,240
CROATIA,BRAZIL,45%,45%,10%,1,1,09 DEC 2022,16 : 00,Quarter-final,9,20,1,1,1,1,0,0,1,1,1,11,4,4,5,12,4,8,19,25,4,10,2,15,5,8,27,20,674,737,156,153,250,239,268,345,10,11,240,185,180,121,16,19,10,10,2,3,0,0,22,24,3,3,715,695,632,625,22,25,5,6,13,4,3,7,27,25,0,0,21,9,0,0,95,77,365,423
NETHERLANDS,ARGENTINA,45%,44%,11%,2,2,09 DEC 2022,20 : 00,Quarter-final,5,15,2,2,2,2,0,0,2,1,2,6,2,8,3,5,2,10,11,7,7,7,9,13,3,6,15,17,722,644,117,97,278,278,327,269,5,7,194,203,130,122,15,24,6,8,8,8,1,0,30,18,1,2,651,603,557,511,22,16,4,4,5,4,2,8,20,30,0,1,15,5,0,0,91,79,401,323
MOROCCO,PORTUGAL,22%,65%,13%,1,0,10 DEC 2022,16 : 00,Quarter-final,9,11,0,1,1,0,0,0,1,0,3,3,6,6,5,7,4,4,4,27,1,10,4,8,1,7,3,20,339,780,68,205,150,208,121,367,6,19,128,167,63,118,13,23,3,18,3,1,1,0,15,9,2,2,229,678,171,592,8,33,3,7,4,9,3,9,11,17,0,0,11,10,0,0,88,44,373,165
ENGLAND,FRANCE,54%,36%,10%,1,2,10 DEC 2022,20 : 00,Quarter-final,14,9,2,1,1,1,0,1,0,2,6,5,4,3,6,6,8,3,17,15,6,2,4,7,2,2,10,13,661,401,127,84,312,136,222,181,8,7,147,136,108,87,13,14,10,8,1,3,0,0,10,14,1,2,508,369,453,310,22,13,5,6,5,2,5,2,14,11,1,0,9,15,0,0,49,54,193,308
ARGENTINA,CROATIA,34%,54%,12%,3,0,13 DEC 2022,20 : 00,Semi-final,10,12,0,3,3,0,0,0,1,0,7,3,2,7,7,6,3,6,8,18,9,6,7,7,3,4,2,8,349,643,89,136,122,291,138,216,7,3,147,182,91,129,17,9,7,1,2,2,0,0,15,8,1,0,408,624,344,551,8,20,2,4,4,8,2,4,6,16,1,0,12,10,0,0,85,63,321,260
FRANCE,MOROCCO,34%,55%,11%,2,0,14 DEC 2022,20 : 00,Semi-final,14,13,0,2,2,0,0,0,0,0,2,1,8,6,12,8,2,5,9,10,6,4,3,6,2,6,6,19,330,702,82,136,99,314,149,252,8,15,126,141,85,95,12,18,8,11,0,1,0,0,11,11,4,3,358,583,307,518,5,22,2,1,1,8,2,3,13,15,0,0,13,14,0,0,72,47,328,218
CROATIA,MOROCCO,45%,45%,10%,2,1,17 DEC 2022,16 : 00,Play-off for third place,14,7,1,2,2,1,0,0,2,0,4,2,8,5,7,5,7,2,20,13,8,1,3,3,2,7,7,16,519,609,117,127,198,202,204,280,15,10,164,150,114,97,23,14,12,8,0,2,0,0,13,11,2,2,491,494,430,428,21,20,3,5,7,12,6,3,13,15,0,0,7,14,0,0,75,72,288,277
ARGENTINA,FRANCE,46%,40%,14%,3,3,18 DEC 2022,16 : 00,Final,21,10,3,3,3,3,0,0,1,1,9,5,9,3,10,7,11,3,13,15,6,7,8,5,9,4,9,12,607,507,146,105,257,207,204,195,43,10,223,163,151,99,38,14,23,9,4,3,0,0,26,19,4,4,648,516,544,419,20,24,4,3,6,5,6,5,22,28,1,2,11,21,0,0,87,104,280,409
